,Intensity
-7.86E-05,-0.50447059
2.18E-07,-0.28486275
9.60E-05,-0.20643137
0.00036601,-0.51231373
0.0008102,0.49945098
0.00142856,0.61709804
0.00222112,-2.3476078
0.00318787,-1.9476078
0.00432881,-3.2495686
0.00564393,-3.9476078
0.00713324,-3.7985882
0.00879674,-3.8927059
0.01063443,-4.0025098
0.01264631,-3.8587002
0.01483238,-3.6519175
0.01719263,-0.42529906
0.01972708,4.6839003
0.02243571,9.7776415
0.02531853,6.3147478
0.02837554,3.8795331
0.03160674,7.7896444
0.03501213,2.688219
0.0385917,-3.9580765
0.04234547,-3.004144
0.04627342,3.6127615
0.05037556,1.2887186
0.05465189,0.40019777
0.05910241,0.20210099
0.06372712,-0.67027762
0.06852602,-2.6875263
0.0734991,-1.1202333
0.07864638,5.3884642
0.08396784,9.8111152
0.08946349,4.6418372
0.09513333,-2.1272128
0.10097736,-3.8058387
0.10699557,-3.8136484
0.11318798,-3.8996615
0.11955457,-2.5266231
0.12609535,-0.61218022
0.13281032,0.016216099
0.13969948,-1.1433949
0.14676283,0.11290835
0.15400037,2.0047337
0.16141209,3.4497282
0.16899801,2.2910291
0.17675811,2.0894207
0.1846924,1.8331384
0.19280088,1.3810055
0.20108355,-0.074820861
0.20954041,-2.0480664
0.21817145,-1.4250054
0.22697669,0.69632268
0.23595611,1.4139572
0.24510972,1.1435844
0.25443752,1.0616749
0.26393951,1.9446992
0.27361569,0.31030443
0.28346605,-1.5983722
0.29349061,-1.7970168
0.30368935,-1.8621002
0.31406228,-2.5308772
0.3246094,-2.8229556
0.33533071,-1.2559825
0.34622621,-0.3789775
0.3572959,0.70217704
0.36853977,1.7757164
0.37995783,1.3043857
0.39155009,1.2724987
0.40331653,1.0761338
0.41525716,1.2094086
0.42737197,1.7429114
0.43966098,1.6884069
0.45212418,2.0106009
0.46476156,1.595768
0.47757313,0.78900624
0.49055889,0.18639401
0.50371884,-0.54932358
0.51705298,-0.79853868
0.53056131,-0.72595718
0.54424382,-0.45706927
0.55810053,-0.47030633
0.57213142,-0.49900168
0.5863365,-0.40982201
0.60071577,-0.085120233
0.61526923,0.41235854
0.62999688,0.69830057
0.64489871,0.71780392
0.65997473,1.1088716
0.67522495,0.9195346
0.69064935,0.58116538
0.70624794,0.2898424
0.72202072,-0.5348265
0.73796769,-0.1202923
0.75408884,-0.76459422
0.77038419,-0.40498714
0.78685372,-0.25715736
0.80349744,-0.5799284
0.82031535,-0.47918261
0.83730745,-0.11178273
0.85447374,-0.24635623
0.87181421,-0.38878544
0.88932888,-0.23318803
0.90701773,0.087102687
0.92488077,-0.2906584
0.942918,-0.16647129
0.96112942,0.02829148
0.97951503,0.089708328
0.99807483,0.7628773
1.0168088,0.68309251
1.035717,1.050354
1.0547993,1.1823087
1.0740559,1.4475842
1.0934866,1.6265726
1.1130916,1.2016269
1.1328707,1.5217666
1.152824,1.4732662
1.1729515,1.0482827
1.1932532,0.90563958
1.213729,0.97474855
1.2343791,1.0046293
1.2552033,0.91685032
1.2762018,1.1741568
1.2973744,1.1804704
1.3187212,0.9671635
1.3402422,1.0283538
1.3619374,0.54835511
1.3838068,0.91540263
1.4058504,0.85890815
1.4280681,0.90436188
1.4504601,0.99686184
1.4730262,0.87758451
1.4957665,1.0406475
1.518681,0.69389407
1.5417697,0.45693193
1.5650326,0.69054544
1.5884697,0.13983265
1.612081,0.1224406
1.6358664,0.22268303
1.6598261,-0.16336164
1.6839599,0.25058111
1.7082679,-0.0256848
1.7327501,0.050977879
1.7574065,0.40213778
1.7822371,0.21210862
1.8072419,0.42206688
1.8324209,0.3026008
1.857774,0.43410252
1.8833013,0.44010146
1.9090029,0.21863683
1.9348786,0.24814001
1.9609285,0.042336496
1.9871526,0.29142235
2.0135509,0.02284857
2.0401234,0.075830829
2.06687,0.29350639
2.0937909,0.24450269
2.1208859,0.32881975
2.1481551,0.28763402
2.1755985,0.26212199
2.2032161,0.31502874
2.2310079,0.19537389
2.2589739,0.23256921
2.2871141,0.33249703
2.3154285,0.25202012
2.343917,0.44604042
2.3725797,0.30279324
2.4014167,0.38698445
2.4304278,0.50253563
2.4596131,0.43768207
2.4889726,0.34928652
2.5185062,0.43342739
2.5482141,0.32147726
2.5780962,0.2644165
2.6081524,0.28577452
2.6383828,0.15025722
2.6687875,0.26570773
2.6993663,0.15369467
2.7301193,0.057355306
2.7610465,0.25904257
2.7921478,-0.10398863
2.8234234,0.18394797
2.8548732,0.11108768
2.8864971,0.077430494
2.9182952,0.075133269
2.9502676,0.22184307
2.9824141,0.09403048
3.0147348,0.18581315
3.0472296,0.37954402
3.0798987,0.19679172
3.112742,0.48461507
3.1457594,0.24693564
3.1789511,0.55826323
3.2123169,0.43820569
3.2458569,0.68676302
3.2795711,0.52746462
3.3134595,0.57991835
3.3475221,0.76569283
3.3817589,0.47302335
3.4161698,0.83132168
3.450755,0.93078389
3.4855143,0.70082176
3.5204478,0.88653331
3.5555556,0.53105581
3.5908375,0.59909514
3.6262936,0.84751404
3.6619238,0.46062624
3.6977283,0.62274547
3.733707,0.75347956
3.7698598,0.59400499
3.8061868,0.66196881
3.8426881,0.70639064
3.8793635,0.76648616
3.9162131,0.5755887
3.9532369,0.6670316
3.9904348,0.69571682
4.027807,0.4812522
4.0653534,0.50991225
4.1030739,0.41306952
4.1409686,0.37111617
4.1790376,0.39973846
4.2172807,0.31070112
4.255698,0.25302374
4.2942895,0.19533377
4.3330551,0.16900377
4.371995,0.21324943
4.411109,0.045717787
4.4503973,0.13699709
4.4898597,0.032185385
4.5294963,0.02147874
4.5693071,-0.028456176
4.6092921,-0.023501715
4.6494513,-0.057775525
4.6897847,-0.11559133
4.7302923,-0.079302072
4.770974,-0.050868536
4.8118299,-0.13225151
4.8528601,0.021647059
4.8940644,-0.003376264
4.9354429,-0.075464726
4.9769956,0.056362065
5.0187225,-0.062797852
5.0606235,0.045486897
5.1026988,-0.003097415
5.1449482,0.034586467
5.1873719,0.017362074
5.2299697,-0.039084322
5.2727417,0.13191395
5.3156879,-0.065721549
5.3588083,0.089577815
5.4021029,0.22134145
5.4455717,-0.14101887
5.4892146,0.1946537
5.5330318,-0.073601608
5.5770231,-0.051667154
5.6211886,0.15065314
5.6655283,0.086300454
5.7100422,0.2415493
5.7547303,0.23208594
5.7995926,0.19124372
5.8446291,0.20529714
5.8898397,0.21150111
5.9352245,0.27260073
5.9807836,0.1376156
6.0265168,0.28497709
6.0724242,0.17350875
6.1185058,0.32085761
6.1647616,0.24859232
6.2111916,0.27828149
6.2577957,0.12757219
6.3045741,0.51018992
6.3515266,0.23397779
6.3986533,0.18521033
6.4459543,0.5442797
6.4934294,0.087656469
6.5410787,0.070242612
6.5889021,0.47635185
6.6368998,0.30990576
6.6850717,0.057178838
6.7334177,0.36130835
6.781938,0.39092174
6.8306324,-0.010843737
6.879501,0.3716982
6.9285438,0.35423382
6.9777608,0.062253321
7.027152,0.30359984
7.0767174,0.25474396
7.1264569,0.24509746
7.1763707,0.18054268
7.2264586,0.28068747
7.2767207,0.36513966
7.327157,0.09664437
7.3777675,0.27520158
7.4285522,0.32041915
7.4795111,0.14602255
7.5306442,0.18338435
7.5819514,0.16583787
7.6334329,0.22671645
7.6850885,0.17778479
7.7369183,0.1053174
7.7889223,0.19754958
7.8411005,0.11722642
7.8934529,-0.002318732
7.9459795,0.32518862
7.9986802,0.080140636
8.0515552,0.046851043
8.1046043,0.16257474
8.1578277,-0.14523729
8.2112252,0.16655221
8.2647969,0.039119712
8.3185428,0.013641679
8.3724629,0.17639262
8.4265572,-0.21772549
8.4808256,0.064270109
8.5352683,-0.077264851
8.5898851,-0.17958527
8.6446761,0.031818652
8.6996413,-0.10187661
8.7547808,0.038936782
8.8100943,-0.039858814
8.8655821,-0.16571438
